T,seed,L,Y,YoverT,sqrtMI,absRI,xm1,birth,Smax,Nv,eta
0.85,10,128,0.123211,0.144955,0.063391,0.0038572,5.63149,0.025835,1.4583,0.002751,0.4076
0.87,10,128,0.020625,0.023707,0.067039,0.0042094,4.12071,0.021124,1.425,0.003137,0.3151
0.89,10,128,0.430549,0.483763,0.069356,0.0042928,4.27785,0.031079,1.6667,0.003736,0.4481
0.91,10,128,0.128729,0.14146,0.070637,0.0043741,3.76398,0.036374,1.7417,0.00445,0.5149
0.93,10,128,0.233022,0.250561,0.080285,0.0047359,3.95429,0.039913,1.875,0.005398,0.4971
0.95,10,128,0.02902,0.030547,0.069478,0.004875,5.26061,0.039608,1.9333,0.006234,0.5701
0.97,10,128,0.381596,0.393398,0.084238,0.0052665,4.57941,0.050627,2.1417,0.007484,0.601
0.99,10,128,0.370487,0.37423,0.089145,0.0059352,5.19432,0.057474,2.2333,0.008858,0.6447
1.01,10,128,-0.031695,-0.031382,0.119794,0.0067394,4.76545,0.062691,2.2417,0.010476,0.5233
1.03,10,128,0.437368,0.42463,0.111193,0.0074289,6.17666,0.07298,2.4,0.012649,0.6563
1.05,10,128,0.210077,0.200073,0.126877,0.0082038,3.62886,0.081281,2.5833,0.014586,0.6406
1.07,10,128,0.367145,0.343126,0.129175,0.0082584,4.56674,0.088012,2.5833,0.016696,0.6813
1.09,10,128,0.236615,0.217078,0.112992,0.0081548,4.70643,0.102268,2.9083,0.019282,0.9051
1.11,10,128,0.123469,0.111234,0.090028,0.0077621,4.18136,0.110574,3.0083,0.021902,1.2282
1.13,10,128,0.189526,0.167722,0.065336,0.0065961,5.10299,0.118391,3.1667,0.024637,1.812
1.15,10,128,0.35806,0.311356,0.044891,0.0052334,3.7981,0.118825,3.1917,0.026898,2.647
1.17,10,128,0.07553,0.064555,0.030172,0.0041502,4.37268,0.135837,3.3,0.029748,4.5021
0.85,12,128,-0.481533,-0.56651,0.062763,0.0039667,5.32493,0.023432,1.4,0.002602,0.3733
0.87,12,128,-0.170641,-0.196139,0.060836,0.0042279,5.89278,0.024823,1.4917,0.003082,0.408
0.89,12,128,-0.422485,-0.474702,0.069483,0.0043611,4.88021,0.029431,1.6,0.003757,0.4236
0.91,12,128,-0.539671,-0.593045,0.072926,0.0045141,4.34913,0.036359,1.7917,0.004514,0.4986
0.93,12,128,-0.38708,-0.416215,0.067443,0.0046271,5.96798,0.037896,1.8167,0.005269,0.5619
0.95,12,128,-0.103856,-0.109322,0.079071,0.0049545,4.71832,0.045057,1.9333,0.006344,0.5698
0.97,12,128,0.501044,0.51654,0.103761,0.0053018,3.71602,0.054116,2.1167,0.007761,0.5215
0.99,12,128,0.22518,0.227455,0.101441,0.0059221,5.16838,0.058801,2.1583,0.009028,0.5797
1.01,12,128,0.153064,0.151549,0.103079,0.006656,4.40453,0.069942,2.3,0.010626,0.6785
1.03,12,128,0.220204,0.21379,0.155676,0.0073892,5.40324,0.070643,2.4417,0.01235,0.4538
1.05,12,128,0.221819,0.211256,0.134692,0.0079451,3.95622,0.082361,2.6167,0.014631,0.6115
1.07,12,128,0.306923,0.286844,0.121727,0.0080948,4.54793,0.092617,2.6,0.016907,0.7609
1.09,12,128,0.192391,0.176505,0.105558,0.0081839,5.32936,0.099178,2.8417,0.019296,0.9396
1.11,12,128,0.206072,0.18565,0.086893,0.0075448,5.24424,0.104483,3.0167,0.021876,1.2024
1.13,12,128,0.350941,0.310568,0.064892,0.0066269,5.71121,0.115671,3.025,0.024393,1.7825
1.15,12,128,0.093671,0.081453,0.043704,0.0053341,5.45018,0.125628,3.2333,0.027044,2.8745
1.17,12,128,0.252925,0.216175,0.028515,0.0039245,5.36208,0.135806,3.4417,0.029873,4.7627
0.85,14,128,0.539435,0.634629,0.063379,0.0040557,5.97403,0.026774,1.4667,0.002763,0.4224
0.87,14,128,0.495284,0.569292,0.065729,0.004224,5.66856,0.022259,1.4583,0.003178,0.3386
0.89,14,128,0.431395,0.484714,0.068879,0.0044007,4.42985,0.03244,1.6333,0.003759,0.471
0.91,14,128,0.341494,0.375269,0.066311,0.0044066,4.88853,0.032077,1.7417,0.004394,0.4837
0.93,14,128,0.265851,0.285861,0.076396,0.0047653,3.96193,0.04221,1.875,0.005316,0.5525
0.95,14,128,0.257067,0.270597,0.079325,0.0050109,4.77089,0.043003,1.95,0.006254,0.5421
0.97,14,128,0.381656,0.393459,0.079484,0.0053222,5.25423,0.049978,2.1,0.007481,0.6288
0.99,14,128,0.480058,0.484908,0.103808,0.0059109,4.99935,0.05567,2.175,0.009,0.5363
1.01,14,128,0.343323,0.339924,0.130823,0.0066104,4.6147,0.062585,2.275,0.010784,0.4784
1.03,14,128,0.494657,0.480249,0.120125,0.0071663,4.63884,0.077565,2.5,0.012352,0.6457
1.05,14,128,0.210474,0.200452,0.120457,0.0078612,3.85695,0.080566,2.425,0.014593,0.6688
1.07,14,128,0.262415,0.245248,0.132165,0.0081867,4.97678,0.087978,2.7,0.016778,0.6657
1.09,14,128,0.148465,0.136206,0.112703,0.0082465,4.73303,0.098368,2.7917,0.019416,0.8728
