T,seed,L,Y,YoverT,sqrtMI,absRI,xm1,birth,Smax,Nv,eta
1.15,6,128,0.230144,0.200126,0.06643,0.0040558,4.43178,0.125966,3.1583,0.027101,1.8962
1.155,6,128,0.260409,0.225463,0.095864,0.0055556,3.83293,0.126677,3.1917,0.027873,1.3214
1.16,6,128,0.497964,0.429279,0.10846,0.0074176,5.01125,0.128246,3.3167,0.028455,1.1824
1.165,6,128,0.015404,0.013222,0.109623,0.0081521,4.33825,0.131477,3.2,0.029028,1.1994
1.17,6,128,0.070672,0.060403,0.090352,0.0076748,5.23544,0.134547,3.3583,0.0298,1.4891
1.175,6,128,0.195913,0.166735,0.05902,0.0062856,5.55468,0.134871,3.4417,0.030559,2.2852
1.18,6,128,0.071882,0.060917,0.037202,0.0047057,5.21714,0.137779,3.3667,0.031191,3.7036
1.185,6,128,0.03631,0.030641,0.02376,0.0032704,6.14993,0.135826,3.375,0.031596,5.7165
1.19,6,128,0.265576,0.223173,0.016084,0.0024628,5.10508,0.140163,3.4083,0.032074,8.7147
1.195,6,128,0.030589,0.025598,0.013896,0.0022166,4.38531,0.14289,3.525,0.032678,10.2827
1.2,6,128,0.368675,0.307229,0.016664,0.0026386,5.37218,0.144691,3.5167,0.033386,8.6827
1.205,6,128,0.338096,0.280577,0.023983,0.0035349,5.84473,0.149404,3.4333,0.034249,6.2296
1.21,6,128,-0.122443,-0.101192,0.0307,0.0044249,4.06685,0.147571,3.425,0.034843,4.8069
1.215,6,128,0.234749,0.193209,0.038786,0.0052758,4.2956,0.152351,3.6083,0.035587,3.928
1.22,6,128,0.259466,0.212677,0.048253,0.006139,4.93354,0.150912,3.625,0.036275,3.1275
1.225,6,128,0.273482,0.22325,0.059826,0.0070189,5.52865,0.155027,3.5417,0.036538,2.5913
1.23,6,128,0.180405,0.146671,0.069163,0.0077411,5.75047,0.161199,3.7417,0.037557,2.3307
1.235,6,128,0.041196,0.033357,0.077718,0.0084835,6.25934,0.158805,3.6,0.038078,2.0434
1.24,6,128,0.165114,0.133156,0.088257,0.0092156,5.19031,0.162683,3.775,0.038569,1.8433
1.245,6,128,0.344768,0.276922,0.09525,0.0096203,4.1047,0.163635,3.6167,0.039326,1.7179
1.25,6,128,0.276591,0.221272,0.10172,0.0098756,5.15228,0.167909,3.7667,0.039855,1.6507
1.255,6,128,0.036625,0.029183,0.111132,0.0103265,5.04589,0.165986,3.775,0.040453,1.4936
1.26,6,128,0.085458,0.067824,0.118918,0.0105849,4.29814,0.172153,4.0083,0.041431,1.4477
1.265,6,128,0.051864,0.040999,0.123506,0.0108243,3.90365,0.173951,3.825,0.041957,1.4084
1.27,6,128,0.165579,0.130377,0.125993,0.0108554,4.67795,0.175069,3.8583,0.042436,1.3895
1.275,6,128,-0.07405,-0.058079,0.129841,0.011075,4.7086,0.174598,3.95,0.043125,1.3447
1.28,6,128,0.20254,0.158234,0.141082,0.0114719,4.79364,0.177962,3.925,0.043713,1.2614
1.285,6,128,0.223295,0.17377,0.148196,0.0113932,3.92312,0.180516,3.8667,0.044307,1.2181
1.29,6,128,0.362312,0.280862,0.150807,0.0115174,4.40976,0.179452,3.775,0.044819,1.1899
1.295,6,128,0.171473,0.132411,0.158528,0.011707,4.09455,0.186521,3.9833,0.045706,1.1766
1.3,6,128,0.157281,0.120985,0.154441,0.0118884,5.30045,0.187215,3.95,0.046445,1.2122
1.15,7,128,0.306035,0.266117,0.063908,0.0040258,4.6434,0.127723,3.2583,0.027188,1.9985
1.155,7,128,0.211788,0.183366,0.087633,0.0055792,5.51418,0.125991,3.275,0.027489,1.4377
1.16,7,128,0.216679,0.186793,0.12036,0.0074435,4.24501,0.129897,3.2583,0.028337,1.0792
1.165,7,128,0.089669,0.076969,0.114638,0.0079389,4.22257,0.129394,3.275,0.029045,1.1287
1.17,7,128,0.197152,0.168506,0.090588,0.0073307,3.65996,0.132264,3.3167,0.029686,1.4601
1.175,7,128,0.331207,0.281878,0.061724,0.0062592,5.37837,0.13619,3.3583,0.030499,2.2064
1.18,7,128,0.398425,0.337648,0.040058,0.0047837,5.84105,0.138159,3.5833,0.031071,3.4489
1.185,7,128,0.048498,0.040926,0.024295,0.0033201,5.07387,0.141794,3.4,0.031517,5.8364
1.19,7,128,0.374819,0.314974,0.015881,0.0024762,4.95985,0.142672,3.5,0.032525,8.9839
1.195,7,128,0.295495,0.247276,0.013545,0.0022792,3.30158,0.14117,3.5417,0.032655,10.4227
1.2,7,128,0.022933,0.019111,0.015986,0.0025023,4.56986,0.146364,3.475,0.03349,9.1559
1.205,7,128,0.293583,0.243637,0.022471,0.0032046,5.14163,0.151786,3.5417,0.034351,6.7547
1.21,7,128,0.25947,0.214438,0.030584,0.0042337,4.63024,0.153692,3.4417,0.034841,5.0253
1.215,7,128,-0.045182,-0.037187,0.039939,0.0053099,4.557,0.151841,3.5917,0.035301,3.8018
1.22,7,128,0.174061,0.142673,0.048712,0.0061157,4.52097,0.153162,3.5667,0.036048,3.1442
1.225,7,128,0.198458,0.162007,0.060928,0.0070178,4.68382,0.157348,3.5333,0.036849,2.5825
1.23,7,128,0.227872,0.185261,0.071009,0.0078849,5.15127,0.161091,3.6917,0.03748,2.2686
1.235,7,128,0.129242,0.104649,0.075787,0.008384,4.41187,0.159985,3.675,0.038265,2.111
1.24,7,128,0.2463,0.198629,0.083987,0.0089083,3.87416,0.163593,3.6917,0.038775,1.9478
