T,seed,L,Y,YoverT,sqrtMI,absRI,xm1,birth,Smax,Nv,eta
0.85,6,48,-0.505607,-0.594831,0.06231,0.004497,3.24181,0.003935,1.0167,0.002582,0.0632
0.87,6,48,-0.043307,-0.049779,0.057176,0.0044012,3.86284,0.029993,1.0917,0.003042,0.5246
0.89,6,48,0.267219,0.300246,0.058073,0.004503,3.43487,0.019286,1.1,0.00378,0.3321
0.91,6,48,0.466901,0.513078,0.060318,0.0046557,2.67129,0.042527,1.2083,0.004583,0.7051
0.93,6,48,0.569687,0.612567,0.07463,0.0049927,3.07186,0.02838,1.1667,0.00497,0.3803
0.95,6,48,0.405147,0.426471,0.072577,0.0050905,3.54911,0.051068,1.35,0.006239,0.7036
0.97,6,48,0.303526,0.312914,0.073835,0.0051013,3.15167,0.043434,1.3667,0.007404,0.5882
0.99,6,48,0.207954,0.210054,0.083081,0.0061571,2.36563,0.049194,1.375,0.008666,0.5921
1.01,6,48,0.348968,0.345513,0.079206,0.006098,3.10841,0.070095,1.6417,0.010088,0.885
1.03,6,48,0.385912,0.374672,0.106549,0.0066152,3.34549,0.067716,1.6917,0.012377,0.6355
1.05,6,48,0.320241,0.304992,0.104333,0.0078809,2.64838,0.078718,1.7333,0.014211,0.7545
1.07,6,48,0.122537,0.11452,0.116791,0.0074644,4.13959,0.094133,2.0083,0.017093,0.806
1.09,6,48,-0.202302,-0.185599,0.096568,0.0076724,4.04928,0.090591,2.0333,0.019376,0.9381
1.11,6,48,0.178218,0.160557,0.080759,0.0073026,3.24949,0.095932,2.1083,0.021864,1.1879
1.13,6,48,0.016431,0.01454,0.062151,0.006322,3.18551,0.126707,2.3667,0.024635,2.0387
1.15,6,48,0.201662,0.175358,0.041323,0.004881,2.97495,0.131722,2.35,0.027561,3.1876
1.17,6,48,0.201791,0.172471,0.030244,0.0040205,2.83079,0.129472,2.45,0.029409,4.2809
1.19,6,48,0.236188,0.198477,0.017916,0.0026332,2.75301,0.142908,2.475,0.032324,7.9765
1.21,6,48,0.239187,0.197675,0.014644,0.0025474,2.83685,0.156319,2.5417,0.034791,10.6744
1.23,6,48,0.243575,0.198029,0.015839,0.0028605,2.21505,0.155501,2.675,0.036936,9.8175
1.25,6,48,0.099511,0.079609,0.024812,0.0036928,3.80682,0.165335,2.7917,0.040582,6.6635
1.27,6,48,0.301314,0.237255,0.030711,0.0044585,3.14764,0.167525,2.9917,0.042459,5.4548
1.29,6,48,0.109037,0.084524,0.042311,0.0055677,3.00543,0.174059,2.8083,0.04469,4.1138
1.31,6,48,0.205192,0.156635,0.05392,0.0066882,2.91589,0.181794,2.95,0.046531,3.3715
1.33,6,48,0.220086,0.165478,0.07052,0.007885,2.95835,0.20291,3.1333,0.049931,2.8773
1.35,6,48,0.301443,0.223291,0.076666,0.0087564,3.55897,0.211331,3.225,0.052134,2.7565
1.37,6,48,0.277412,0.202491,0.083243,0.0091438,2.41302,0.215979,3.225,0.055071,2.5946
1.39,6,48,0.184302,0.132592,0.089826,0.0094573,3.06664,0.211227,3.2917,0.056409,2.3515
1.41,6,48,0.132435,0.093926,0.097186,0.0097914,2.75745,0.222029,3.3167,0.058796,2.2846
1.43,6,48,0.180576,0.126277,0.111171,0.0103194,3.82139,0.235361,3.45,0.061046,2.1171
1.45,6,48,0.147239,0.101544,0.122689,0.0106336,3.31795,0.238681,3.5,0.062869,1.9454
1.47,6,48,0.120657,0.08208,0.123167,0.0110397,3.10544,0.238913,3.5417,0.064468,1.9397
1.49,6,48,0.130682,0.087706,0.14507,0.0117431,3.57463,0.242978,3.6917,0.067792,1.6749
1.51,6,48,0.168697,0.11172,0.142552,0.0120081,3.1328,0.250448,3.675,0.069437,1.7569
1.53,6,48,0.191739,0.12532,0.133755,0.0115493,3.93418,0.252182,3.725,0.070645,1.8854
1.55,6,48,0.06687,0.043142,0.146722,0.0119274,3.04532,0.268834,3.9,0.073076,1.8323
1.57,6,48,0.167755,0.106851,0.148668,0.0120541,2.49446,0.269065,3.9583,0.075145,1.8098
1.59,6,48,0.081996,0.05157,0.143049,0.0124373,2.92335,0.274249,3.9,0.076544,1.9172
1.61,6,48,-0.071109,-0.044167,0.129109,0.0117594,2.68315,0.277161,3.9833,0.078762,2.1467
0.85,7,48,0.410158,0.482538,0.050413,0.0040294,4.01809,0.0167,1.0667,0.002724,0.3313
0.87,7,48,0.12274,0.141081,0.066987,0.0043012,3.0933,0.03018,1.125,0.003114,0.4505
0.89,7,48,0.581702,0.653598,0.056688,0.0044099,2.93327,0.024844,1.1167,0.003725,0.4383
0.91,7,48,0.374205,0.411214,0.07302,0.0047844,3.23245,0.045913,1.2083,0.004261,0.6288
0.93,7,48,0.322145,0.346392,0.0648,0.0047452,3.63786,0.040328,1.2583,0.005346,0.6223
0.95,7,48,0.392793,0.413466,0.068925,0.0047933,2.98126,0.032689,1.2417,0.006221,0.4743
0.97,7,48,0.360394,0.37154,0.070018,0.0053493,3.1452,0.049118,1.4,0.007422,0.7015
0.99,7,48,0.369234,0.372963,0.076375,0.005859,3.33336,0.049884,1.4083,0.008623,0.6531
1.01,7,48,0.172821,0.171109,0.079728,0.0063678,2.4609,0.064504,1.6,0.010485,0.8091
1.03,7,48,0.248886,0.241637,0.104642,0.0073239,2.96428,0.063737,1.65,0.012446,0.6091
1.05,7,48,0.380509,0.362389,0.116563,0.0081422,3.37345,0.077176,1.8083,0.014475,0.6621
1.07,7,48,0.165268,0.154456,0.116667,0.0079983,2.47619,0.088823,1.9167,0.016204,0.7613
1.09,7,48,0.533902,0.489818,0.101105,0.0080982,3.97395,0.099191,2.075,0.019217,0.9811
1.11,7,48,0.104256,0.093925,0.087214,0.0078278,3.10045,0.108053,2.15,0.021806,1.2389
1.13,7,48,0.278303,0.246286,0.065776,0.0066883,3.2238,0.122671,2.3,0.024761,1.865
1.15,7,48,0.225078,0.19572,0.048823,0.0052842,3.25967,0.129965,2.3,0.026418,2.6619
1.17,7,48,0.141675,0.12109,0.029714,0.0039446,2.53562,0.125232,2.5167,0.028968,4.2146
1.19,7,48,0.271769,0.228377,0.017747,0.0028155,2.49159,0.143934,2.4167,0.032324,8.1105
1.21,7,48,0.268912,0.222242,0.014873,0.0025903,3.00515,0.142488,2.525,0.034816,9.5802
1.23,7,48,0.340253,0.276629,0.019853,0.0032557,2.80032,0.155538,2.7417,0.036708,7.8345
1.25,7,48,0.172819,0.138255,0.024395,0.0035077,2.36342,0.16569,2.725,0.039996,6.7919
1.27,7,48,0.118834,0.09357,0.032174,0.0044866,3.02108,0.179588,2.7667,0.042104,5.5817
1.29,7,48,0.236313,0.183188,0.043372,0.005543,2.53765,0.175573,2.8667,0.045421,4.0481
1.31,7,48,0.197557,0.150807,0.055725,0.0069511,3.17389,0.182528,3.0,0.046882,3.2755
1.33,7,48,0.127268,0.09569,0.066143,0.0080758,3.46563,0.191524,3.025,0.049244,2.8956
1.35,7,48,0.09419,0.06977,0.078319,0.0087417,2.98737,0.203983,3.1917,0.051613,2.6045
1.37,7,48,0.119006,0.086865,0.098934,0.0097404,3.09019,0.210042,3.2583,0.055096,2.1231
1.39,7,48,0.116751,0.083993,0.10053,0.0104938,2.62711,0.213504,3.325,0.05625,2.1238
1.41,7,48,0.137798,0.097729,0.121505,0.0111561,2.5137,0.222964,3.3583,0.058532,1.835
1.43,7,48,0.29273,0.204706,0.126397,0.0109822,2.88488,0.231715,3.4417,0.061834,1.8332
1.45,7,48,0.230489,0.158958,0.122438,0.0115841,2.51406,0.236553,3.4333,0.062862,1.932
1.47,7,48,0.193571,0.131681,0.136256,0.0119216,2.64922,0.247858,3.6,0.065332,1.8191
1.49,7,48,0.082758,0.055542,0.141026,0.0116118,3.06596,0.255317,3.7583,0.06726,1.8104
1.51,7,48,0.174122,0.115313,0.158874,0.0123906,3.64664,0.254637,3.6417,0.068388,1.6028
1.53,7,48,0.062253,0.040688,0.148416,0.0125996,3.57769,0.260517,3.7583,0.070978,1.7553
1.55,7,48,0.112122,0.072337,0.140651,0.0121418,3.69849,0.267297,3.9,0.072671,1.9004
1.57,7,48,0.022237,0.014164,0.151863,0.0115914,3.5205,0.273857,3.8583,0.074682,1.8033
1.59,7,48,0.014539,0.009144,0.143009,0.0111753,3.10126,0.275035,3.9417,0.076479,1.9232
1.61,7,48,0.064137,0.039836,0.179523,0.0113128,3.23183,0.278049,4.2167,0.078031,1.5488
0.85,8,48,0.445674,0.524322,0.050353,0.0038324,3.31172,0.031487,1.0917,0.002438,0.6253
0.87,8,48,0.399534,0.459234,0.048499,0.0039897,2.89497,0.011389,1.0417,0.002919,0.2348
0.89,8,48,0.299393,0.336397,0.066963,0.0042518,3.30711,0.029411,1.125,0.003483,0.4392
0.91,8,48,0.60497,0.664802,0.054226,0.0043276,3.60094,0.024865,1.1083,0.004217,0.4585
0.93,8,48,0.417666,0.449103,0.064052,0.0048671,2.42609,0.044067,1.2333,0.004745,0.688
0.95,8,48,0.369991,0.389465,0.066324,0.0046641,3.33317,0.039853,1.25,0.006442,0.6009
0.97,8,48,0.347551,0.3583,0.085709,0.005513,3.52285,0.040997,1.2917,0.007067,0.4783
0.99,8,48,0.452685,0.457257,0.087334,0.0056371,3.51608,0.05222,1.4333,0.008847,0.5979
1.01,8,48,0.160222,0.158636,0.097229,0.0061408,3.05977,0.064235,1.5667,0.010547,0.6607
1.03,8,48,0.361203,0.350682,0.093279,0.0072772,3.44569,0.076065,1.7,0.012033,0.8155
1.05,8,48,0.22339,0.212753,0.104469,0.0080397,3.58446,0.075401,1.8,0.014399,0.7218
1.07,8,48,0.136259,0.127345,0.11224,0.0081549,3.37493,0.090244,1.9917,0.017245,0.804
1.09,8,48,0.169576,0.155574,0.103454,0.0086888,2.98443,0.092053,2.05,0.019358,0.8898
1.11,8,48,0.041385,0.037284,0.06824,0.0076259,3.77043,0.099045,2.15,0.021756,1.4514
1.13,8,48,0.100122,0.088603,0.06498,0.0067149,2.65414,0.115581,2.3333,0.024219,1.7787
1.15,8,48,0.123808,0.107659,0.046365,0.0052734,3.48178,0.130591,2.3333,0.026899,2.8166
1.17,8,48,0.107834,0.092166,0.033803,0.0043196,4.09924,0.140986,2.4417,0.030031,4.1709
1.19,8,48,0.15501,0.13026,0.017606,0.0027084,2.94409,0.131897,2.4917,0.031887,7.4916
1.21,8,48,0.265772,0.219646,0.014171,0.0024386,1.90723,0.146081,2.65,0.034505,10.3083
1.23,8,48,0.234383,0.190556,0.015059,0.0025805,2.57991,0.154418,2.6833,0.036856,10.2546
1.25,8,48,0.104926,0.083941,0.022482,0.0034643,3.12718,0.165166,2.7167,0.040017,7.3467
1.27,8,48,-0.059612,-0.046939,0.026759,0.0039643,2.69752,0.172833,2.75,0.042159,6.4588
1.29,8,48,0.0457,0.035427,0.038663,0.0053371,2.73058,0.178362,2.925,0.045414,4.6132
1.31,8,48,0.271691,0.207398,0.04582,0.0056883,2.82223,0.183071,2.9833,0.04775,3.9954
1.33,8,48,0.090284,0.067883,0.056835,0.0066108,2.98594,0.194003,3.075,0.050029,3.4134
1.35,8,48,0.153113,0.113417,0.068771,0.0079802,2.53606,0.19546,3.1583,0.052152,2.8422
1.37,8,48,0.152536,0.11134,0.085422,0.0088419,2.84759,0.212837,3.2,0.055689,2.4916
1.39,8,48,-0.033216,-0.023897,0.093929,0.0096436,3.20273,0.216048,3.3917,0.056243,2.3001
1.41,8,48,0.119258,0.08458,0.101158,0.0097087,2.74581,0.231886,3.5417,0.058851,2.2923
1.43,8,48,0.168307,0.117697,0.106153,0.0101603,2.64516,0.226898,3.4083,0.061256,2.1375
1.45,8,48,0.120318,0.082978,0.111207,0.0101866,3.21362,0.247007,3.625,0.062974,2.2211
1.47,8,48,0.100375,0.068282,0.118587,0.0105053,3.68803,0.249998,3.5417,0.065582,2.1081
1.49,8,48,0.244685,0.164218,0.135367,0.0109205,2.47672,0.253927,3.625,0.067477,1.8758
1.51,8,48,0.228124,0.151075,0.137146,0.0122566,3.42935,0.257569,3.7417,0.069618,1.8781
