T,seed,L,Y,YoverT,sqrtMI,absRI,xm1,birth,Smax,Nv,eta
0.85,31,48,0.541484,0.63704,0.058424,0.0036574,3.28167,0.017274,1.075,0.002756,0.2957
0.87,31,48,0.516401,0.593564,0.058414,0.004289,2.97005,0.026339,1.1,0.003324,0.4509
0.89,31,48,0.271173,0.304689,0.065293,0.0046126,2.97561,0.023758,1.1083,0.003841,0.3639
0.91,31,48,0.148028,0.162668,0.065181,0.0043934,2.49898,0.02601,1.1417,0.004322,0.399
0.93,31,48,0.424811,0.456786,0.063855,0.0043051,3.53241,0.026905,1.1583,0.005013,0.4213
0.95,31,48,0.534825,0.562973,0.077,0.0045934,3.20308,0.042145,1.2667,0.00634,0.5473
0.97,31,48,0.404306,0.41681,0.067803,0.0051285,4.38104,0.047599,1.35,0.007172,0.702
0.99,31,48,0.150229,0.151746,0.094909,0.0057542,3.16993,0.04617,1.4083,0.008785,0.4865
1.01,31,48,0.411877,0.407799,0.089867,0.0062147,3.24426,0.061248,1.5333,0.010149,0.6815
1.03,31,48,0.611857,0.594036,0.111962,0.0075492,3.56939,0.074906,1.7333,0.011972,0.669
1.05,31,48,0.12819,0.122086,0.096007,0.0075427,3.33348,0.080872,1.875,0.015007,0.8424
1.07,31,48,-0.089952,-0.084067,0.128635,0.008228,3.30222,0.093535,1.9667,0.016598,0.7271
1.09,31,48,0.1369,0.125596,0.10655,0.0082216,3.84948,0.098194,2.025,0.01998,0.9216
1.11,31,48,0.145093,0.130715,0.081591,0.0074881,3.4346,0.096037,2.0583,0.021918,1.1771
1.13,31,48,0.240531,0.212859,0.062586,0.0066995,2.35126,0.102777,2.1583,0.024128,1.6422
1.15,31,48,-0.012988,-0.011294,0.044132,0.0055922,2.6082,0.124459,2.3417,0.027626,2.8202
1.17,31,48,0.417402,0.356754,0.029509,0.004051,2.32718,0.136687,2.3583,0.029073,4.6321
1.19,31,48,0.172636,0.145072,0.020898,0.0031903,3.25933,0.138388,2.5,0.032313,6.622
1.21,31,48,0.127506,0.105376,0.014981,0.0026302,1.8984,0.148757,2.475,0.03555,9.93
1.23,31,48,0.153872,0.125099,0.016073,0.0026387,2.37212,0.159156,2.7333,0.037583,9.9019
1.25,31,48,0.102681,0.082145,0.022992,0.0037052,3.48504,0.161076,2.7917,0.040014,7.0056
1.27,31,48,0.218818,0.172297,0.028764,0.0041293,3.61678,0.167018,2.7,0.042484,5.8065
1.29,31,48,0.108551,0.084148,0.036646,0.0049396,3.05922,0.181845,2.9083,0.04481,4.9622
1.31,31,48,0.069078,0.052731,0.04982,0.0060586,3.18174,0.186013,3.0667,0.047157,3.7337
1.33,31,48,0.175355,0.131846,0.060778,0.0073312,2.43281,0.196113,2.9917,0.050394,3.2267
1.35,31,48,0.223742,0.165735,0.077164,0.0082187,3.95473,0.203129,3.15,0.05212,2.6324
1.37,31,48,-0.117242,-0.085578,0.086308,0.0087625,3.23047,0.217766,3.3417,0.055024,2.5231
1.39,31,48,0.216418,0.155696,0.094563,0.008778,2.67633,0.210905,3.3667,0.055686,2.2303
1.41,31,48,0.0726,0.05149,0.102916,0.0094157,3.13599,0.22093,3.375,0.058771,2.1467
1.43,31,48,0.105263,0.07361,0.110725,0.0102045,2.80419,0.218793,3.3417,0.060887,1.976
1.45,31,48,0.061046,0.042101,0.124799,0.0110406,2.7676,0.234059,3.4833,0.06322,1.8755
1.47,31,48,0.140359,0.095482,0.119446,0.0107927,3.00292,0.245416,3.6417,0.065097,2.0546
1.49,31,48,0.020561,0.013799,0.126933,0.0104524,3.02532,0.249454,3.6833,0.067817,1.9652
1.51,31,48,0.000852,0.000565,0.125692,0.0109433,2.77611,0.256814,3.5833,0.068793,2.0432
1.53,31,48,0.127125,0.083088,0.15929,0.0119536,2.94853,0.261401,3.8667,0.070895,1.641
1.55,31,48,-0.022519,-0.014528,0.168157,0.0123943,2.88813,0.270938,3.8917,0.073322,1.6112
